============================================================================================
ANSOFT                                                                              01/11/21
ParametricSetup3 Result                                                             10:54:11

--------------------------------------------------------------------------------------------
Variation   $X_displacement   $Y_displacement   Lpt_new: Freq(150kHz): None   L_st: Freq(150kHz): None   k_new: Freq(150kHz): None   Mpt_st: Freq(150kHz): None
       64              36mm              21mm            2815.13491587194nH          127.63826793404nH          0.0936835175287779           56.1569156301923nH
       65              36mm              24mm            2805.78952351099nH         127.149476457383nH           0.089743976338373           53.6031289068812nH
       66              36mm              27mm            2809.94574800344nH         127.488554349999nH          0.0857863080384026           51.3455184448056nH
       67              36mm              30mm            2806.82278150461nH         127.369510229403nH          0.0812255043325278           48.5660354357753nH
       68              36mm              33mm            2802.19326457439nH         127.386093783867nH          0.0765242992074784           45.7203360408371nH
       69              36mm              36mm            2792.76117884519nH         126.845436711129nH          0.0714375063066578           42.5187618678491nH
       70              36mm              39mm            2801.59766133898nH         127.532120931054nH           0.066664176005327           39.8478771394518nH
       71              36mm              42mm            2791.99880985419nH         127.236602192593nH          0.0614600332965041           36.6316462915417nH
       72              36mm              45mm            2799.16837511306nH         127.956571263048nH          0.0565746061627432           33.8584714494634nH
       73              36mm              48mm            2794.17870026942nH         127.481541747878nH          0.0516553338127112           30.8294597916901nH
       74              36mm              50mm            2789.54535687317nH         127.394426031184nH          0.0482402510734091           28.7575236974878nH
       75              33mm               0mm            2816.27954952736nH         127.241218161672nH           0.104615372740264            62.624936232303nH
       76              33mm               3mm            2816.16562681297nH         127.023010451579nH           0.104230973045682           62.3400418454461nH
       77              33mm               6mm            2816.07992087798nH         127.109210343811nH            0.10355409184105           61.9552712397423nH
       78              33mm               9mm            2815.99893593897nH         127.246616329135nH           0.102219626531942           61.1890420893623nH
       79              33mm              12mm            2818.91977302403nH          127.40625618625nH           0.100480077779273            60.216664790553nH
       80              33mm              15mm            2814.13077083281nH         127.066130111321nH          0.0981548911100931           58.6947131858223nH
       81              33mm              18mm            2812.61070837527nH         127.001288637214nH          0.0952100547652013           56.9038553516226nH
       82              33mm              21mm            2817.05311002932nH         127.508928323648nH          0.0921869188377923            55.250614806566nH
       83              33mm              24mm            2800.37192769853nH         126.753795824671nH          0.0882312503488043           52.5667077912094nH
       84              33mm              27mm            2811.56515616272nH         127.458545675693nH          0.0843838309678084           50.5147018226559nH
       85              33mm              30mm            2800.64808956716nH         127.009349060138nH           0.079914986341012           47.6623383721542nH
       86              33mm              33mm            2805.64837428584nH         127.483057008636nH          0.0752950078728757           45.0307352534238nH
       87              33mm              36mm            2798.00747099233nH           127.0688403035nH          0.0704350610191149           41.9984113822754nH
       88              33mm              39mm            2801.64002616621nH         127.662744486431nH          0.0656879133932352           39.2847253792798nH
       89              33mm              42mm            2798.44978766648nH         127.308042376986nH          0.0605937812901084           36.1671872316552nH
       90              33mm              45mm            2796.16755698703nH         127.650286102396nH          0.0557479744305245            33.305931511155nH
       91              33mm              48mm            2796.45297103739nH         127.636996151314nH          0.0508505569463379           30.3799994295808nH
       92              33mm              50mm            2785.52783074983nH         126.885013093566nH          0.0474682349105981           28.2203241752978nH
       93              30mm               0mm            2805.66829280464nH          126.64414881601nH           0.102653337836202           61.1904718433411nH
       94              30mm               3mm             2812.0602142229nH         126.758770052935nH           0.102690268141398           61.3098994845851nH
       95              30mm               6mm            2817.04132629642nH         127.149797083898nH           0.102026139698019           61.0612793884109nH
       96              30mm               9mm            2816.16025857831nH         126.981648114186nH           0.100686077271142           60.2099939523361nH
       97              30mm              12mm            2813.51021971876nH         126.985574842759nH             0.0989872544649           59.1671597347783nH
       98              30mm              15mm            2813.62981163211nH         127.022406997611nH          0.0966793525645039           57.7972773816628nH
       99              30mm              18mm            2804.16311626948nH         126.500186540094nH          0.0937156874745814           55.8161034241479nH
      100              30mm              21mm            2811.07491902929nH          127.24805505797nH          0.0907715787852664           54.2889792222719nH
      101              30mm              24mm            2810.40253959849nH         127.120256254388nH          0.0871497686938705           52.0904228913456nH
      102              30mm              27mm            2806.30372515558nH         127.092196074152nH          0.0830640904125788           49.6066719974783nH
      103              30mm              30mm            2805.87935120471nH         127.022548651146nH          0.0788349686619765           47.0645387779497nH
      104              30mm              33mm            2801.63936479384nH          126.87302422876nH          0.0741040568379396           44.1807155740493nH
      105              30mm              36mm            2797.48945995551nH         126.914548119848nH          0.0694101386567978           41.3583158279791nH
      106              30mm              39mm            2797.17512620559nH         126.994485801981nH          0.0645971256139029           38.5004188591312nH
      107              30mm              42mm            2792.70676709251nH         126.808561798383nH          0.0596426488591782           35.4930957242049nH
      108              30mm              45mm            2794.08350245317nH         127.274194418838nH          0.0548743462009585           32.7234607905961nH
      109              30mm              48mm            2790.89955867888nH         127.025529224069nH           0.050063176303232           29.8082177665956nH
      110              30mm              50mm            2789.15744470144nH         126.897227745745nH          0.0468936889696902           27.8982512360959nH
      111              27mm               0mm            2811.32339612222nH         126.749015690429nH           0.101670382428784           60.6907016248553nH
      112              27mm               3mm             2811.9440353031nH         126.894678367525nH           0.101526185132265           60.6461322821446nH
      113              27mm               6mm            2813.56364398153nH         126.675513939102nH           0.100650032130033           60.0881214961665nH
      114              27mm               9mm            2808.61744513355nH         126.553940996972nH          0.0992257826277618           59.1573436455471nH
      115              27mm              12mm            2808.69185085765nH         126.550142646038nH          0.0975192647360897           58.1398336451994nH
      116              27mm              15mm            2808.25245223489nH         126.789759269117nH          0.0954233147304427           56.9396326120748nH
      117              27mm              18mm             2811.3369484449nH         126.819334098319nH          0.0926535463585473           55.3237017333362nH
      118              27mm              21mm            2809.19511800435nH          126.84065730016nH           0.089389710438077           53.3590052879128nH
      119              27mm              24mm            2798.29750977083nH         126.274804816911nH          0.0856854434370804           50.9345348692678nH
      120              27mm              27mm            2805.89518296074nH         127.024889566312nH          0.0821422775378099           49.0395950180385nH
      121              27mm              30mm             2804.5644775987nH         126.825364286717nH          0.0776396743644398           46.3041033652489nH
      122              27mm              33mm            2797.67097872897nH         126.701333226732nH          0.0730690319184948           43.5033062692279nH
      123              27mm              36mm            2798.44429588848nH         126.907236982535nH          0.0684704432121098           40.8041811303057nH
      124              27mm              39mm            2795.75341967931nH         126.693263104522nH          0.0635460892940183           37.8194337460623nH
      125              27mm              42mm            2798.30855956198nH         127.042388070466nH          0.0589466167509967           35.1464130443215nH
      126              27mm              45mm            2789.06966811615nH         126.612777963304nH          0.0540445828199748           32.1159385964656nH
      127              27mm              48mm            2791.95644619381nH         126.918458122376nH          0.0494333383054834           29.4263674165276nH
      128              27mm              50mm            2792.86418941607nH         126.987295266215nH          0.0462558023621514           27.5468068587061nH
      129              24mm               0mm            2807.07300066318nH         126.276750769862nH           0.100341679523788           59.7406465879206nH
      130              24mm               3mm            2815.54568453274nH         126.930390043289nH           0.100378775438589           60.0075630063124nH
      131              24mm               6mm            2814.96418626253nH         126.674618603124nH           0.099413817090964           59.3646605590001nH
      132              24mm               9mm            2813.85896418593nH         126.691076385729nH          0.0981285002898494           58.5894387168943nH
      133              24mm              12mm            2808.61986784479nH         126.469932370244nH          0.0964742250908867            57.497825947151nH
      134              24mm              15mm            2810.23368865625nH         126.606679172966nH          0.0942024763974066           56.1903641177796nH
      135              24mm              18mm            2809.86977408276nH         126.623098405762nH           0.091462597246029           54.5560720476427nH
      136              24mm              21mm            2812.49388546052nH         126.873181450249nH          0.0884256942058953           52.8213122959924nH
      137              24mm              24mm            2806.49057908625nH         126.748939740622nH          0.0849023253127842           50.6376504841606nH
      138              24mm              27mm            2808.37579246129nH         126.984344426476nH          0.0810417444651109           48.3962244149525nH
      139              24mm              30mm            2804.44899726483nH         126.869534340407nH          0.0768472467469574           45.8385380891049nH
      140              24mm              33mm            2796.75081489298nH         126.541082096363nH           0.072231182623337           42.9702008972558nH
      141              24mm              36mm            2797.57559125141nH         126.710047088411nH          0.0676947031511824           40.3042764815991nH
      142              24mm              39mm            2797.24763834542nH         126.741147290544nH          0.0629823955211547           37.5010519085663nH
      143              24mm              42mm            2795.10084606792nH         126.865846816493nH          0.0581996487898894           34.6570398768094nH
      144              24mm              45mm            2795.15336230114nH          126.95327316918nH          0.0536021362858847           31.9305846528953nH
      145              24mm              48mm            2789.69165340369nH         126.678179083769nH          0.0488308851303636           29.0284337716972nH
      146              24mm              50mm            2791.73624165125nH         127.017836221563nH          0.0458050586729096           27.2761450390397nH
      147              21mm               0mm            2810.46955101846nH         126.378993963781nH          0.0993291435878085            59.197529166118nH
      148              21mm               3mm            2807.66679803714nH         126.089131894655nH          0.0989626793884256           58.8820681627452nH
      149              21mm               6mm            2813.17027168567nH         126.813501765497nH          0.0985884542221563           58.8852895015138nH
      150              21mm               9mm            2810.26648547788nH          126.48174147854nH           0.097130409019953           57.9085763180386nH
      151              21mm              12mm            2808.55240425287nH         126.288483189882nH          0.0953298312208725           56.7743229090347nH
      152              21mm              15mm            2811.28686041962nH         126.701841621573nH           0.093354520434308           55.7159317096586nH
      153              21mm              18mm            2807.95477095978nH         126.711573401857nH          0.0906183645518207            54.052951839308nH
      154              21mm              21mm            2805.63922617825nH         126.562885730372nH          0.0875181855318245           52.1515717500084nH
      155              21mm              24mm            2805.14089868677nH         126.637481839948nH          0.0840369829701756           50.0874504098182nH
      156              21mm              27mm            2805.06424786093nH         126.689765769452nH          0.0802656302690948           47.8488818295377nH
      157              21mm              30mm            2802.15227660991nH         126.760182317606nH          0.0760549677362057           45.3278249701257nH
      158              21mm              33mm            2800.65946312983nH         126.808155431619nH          0.0715317147863533           42.6287287556834nH
      159              21mm              36mm            2795.72099984942nH         126.474657002178nH          0.0669143430512673           39.7894455967466nH
      160              21mm              39mm            2796.99848473015nH         126.660741902868nH          0.0623026846197081           37.0829170861614nH
      161              21mm              42mm            2793.69775670398nH         126.564298763838nH          0.0575211399172079           34.2036774436023nH
      162              21mm              45mm            2793.66487465779nH         126.742335377313nH          0.0529335423454049           31.4977088686419nH
      163              21mm              48mm            2793.52795568609nH         126.949616858221nH          0.0483441065938822           28.7896076965595nH
      164              21mm              50mm            2788.86612895066nH         126.591605035343nH          0.0453227514821381            26.929764431447nH
      165              18mm               0mm            2812.70355763695nH         126.420445920798nH          0.0985707092291619           58.7785030687763nH
      166              18mm               3mm            2815.73264784115nH         126.542371596253nH          0.0982876992692694           58.6695641833277nH
      167              18mm               6mm             2812.7784666909nH         126.450012949101nH          0.0974962294403544           58.1453546203374nH
      168              18mm               9mm            2817.20173084507nH         126.564087344363nH          0.0963235874088589           57.5170850404736nH
      169              18mm              12mm            2811.82242181851nH         126.510106801717nH          0.0946079336902623            56.426629985185nH
      170              18mm              15mm            2809.06885103684nH         126.734136992566nH          0.0925154460874155           55.2004025878985nH
      171              18mm              18mm              2808.629220308nH          126.65066846926nH          0.0899343875924919           53.6385130258686nH
      172              18mm              21mm            2805.11147933566nH         126.376197981926nH          0.0866254107158684           51.5766359554876nH
      173              18mm              24mm            2800.61632307879nH          126.38614108966nH           0.083176531958531           49.4854294216462nH
      174              18mm              27mm            2805.82761736931nH         126.741159776476nH          0.0795849471542836           47.4591836387993nH
      175              18mm              30mm            2797.86237005186nH         126.373721421063nH          0.0751631619915139            44.693730184547nH
      176              18mm              33mm             2794.9307938506nH         126.390043754874nH           0.070837258256734           42.1020948172198nH
      177              18mm              36mm             2798.2832939178nH         126.528629551375nH          0.0664071511263271           39.5143726530839nH
      178              18mm              39mm            2795.56914113894nH         126.537728850313nH          0.0616799685704939           36.6850639374881nH
      179              18mm              42mm            2796.60133361845nH         126.842545014945nH          0.0571482732122638           34.0369679861312nH
      180              18mm              45mm            2794.82231261017nH         126.716841177294nH           0.052501650069658           31.2440427259366nH
      181              18mm              48mm            2793.19478772929nH         126.815412854233nH          0.0478946445365135            28.505166743935nH
      182              18mm              50mm            2789.83426355095nH         126.704969562386nH           0.044926698396633           26.7110235594062nH
      183              15mm               0mm            2809.94756438143nH         126.271842626861nH          0.0977202836144343           58.2085908333243nH
      184              15mm               3mm            2812.01284027231nH         126.522873280955nH           0.097553296970658           58.1882269961019nH
      185              15mm               6mm            2811.70887743303nH         126.386628490412nH          0.0968177768175715           57.7152852323457nH
      186              15mm               9mm            2811.29163754199nH         126.285562079108nH          0.0955704112983987           56.9446930365943nH
      187              15mm              12mm            2804.33736137393nH         126.016301058511nH          0.0937780574621554           55.7480556970974nH
      188              15mm              15mm            2811.05789140349nH         126.650671131554nH          0.0918153539924883            54.784027357645nH
      189              15mm              18mm              2804.004348472nH         126.235027801209nH          0.0890102942578005           52.9565297750162nH
      190              15mm              21mm            2803.11001471093nH         126.274351355603nH          0.0860402731168412           51.1893276078558nH
      191              15mm              24mm            2809.76342025969nH         126.847095437642nH          0.0827043682692319            49.374599893092nH
      192              15mm              27mm             2801.5084652104nH         126.327755165995nH           0.078733699396524           46.8388276869527nH
      193              15mm              30mm            2799.96372066923nH         126.411343842821nH            0.07467800944632           44.4285315760511nH
      194              15mm              33mm            2798.32954124197nH         126.488232418862nH          0.0702790411928777           41.8119399789175nH
      195              15mm              36mm             2802.2994807816nH         126.715157573879nH          0.0659086373734969           39.2747916735445nH
      196              15mm              39mm            2797.13346103932nH         126.531430440409nH          0.0612009224572128           36.4094208901027nH
      197              15mm              42mm            2798.04415834232nH         126.767541031504nH          0.0567331786591828           33.7884626530443nH
      198              15mm              45mm            2787.43179230906nH         126.271266208537nH          0.0520484687244763           30.8789375590007nH
      199              15mm              48mm            2787.71121926384nH         126.293605070439nH          0.0475288290287462           28.2014660955329nH
      200              15mm              50mm            2792.54642491356nH         126.895973019812nH          0.0447389834137813           26.6323955588266nH
      201              12mm               0mm            2807.05768871768nH         126.041507831934nH          0.0970654922832062            57.736084179769nH
      202              12mm               3mm            2815.87993347366nH         126.643874155362nH          0.0970439710657133           57.9519054286351nH
      203              12mm               6mm            2811.85285772471nH         126.439870771809nH          0.0963157435254854           57.4295744971492nH
      204              12mm               9mm            2810.94239405076nH           126.5791379891nH          0.0951014709268717           56.7275822049745nH
      205              12mm              12mm            2804.78947558361nH         125.987390414424nH          0.0931032953305606           55.3450427988004nH
      206              12mm              15mm            2804.84411312162nH         126.079233869458nH          0.0910729148429398           54.1583446660547nH
      207              12mm              18mm             2807.7507585593nH         126.328219953099nH          0.0885364657258285           52.7292563473422nH
      208              12mm              21mm             2803.6359584565nH         126.240663239597nH          0.0854315057586454           50.8251308631278nH
      209              12mm              24mm            2804.13233320614nH         126.398123840465nH          0.0821168300396778           48.8879405176271nH
      210              12mm              27mm            2800.74381905839nH         126.353030228806nH          0.0783236854243366           46.5932107085752nH
      211              12mm              30mm            2800.68424853418nH          126.34076254056nH            0.07422246967956           44.1508655736007nH
      212              12mm              33mm            2796.24000457395nH          126.26802048512nH          0.0698368772254101           41.4971929268752nH
      213              12mm              36mm            2795.02500660806nH         126.130152599479nH          0.0653433343731768           38.7974874741959nH
      214              12mm              39mm            2791.60775278666nH         126.200824126558nH          0.0607639522340485           36.0665255703257nH
      215              12mm              42mm            2795.41101564415nH         126.703130961185nH          0.0564233026371553           33.5795608947485nH
      216              12mm              45mm            2793.67257202283nH          126.68442858164nH          0.0518844088704173            30.866418731757nH
      217              12mm              48mm            2791.17685193887nH         126.558063526485nH          0.0472717451306923            28.095723702028nH
      218              12mm              50mm            2793.19266521305nH          126.86675374587nH           0.044358567422316           26.4059545913633nH
      219               9mm               0mm            2809.94318351599nH         126.193935755123nH          0.0966579967070656           57.5580141893934nH
      220               9mm               3mm             2813.1671691465nH         126.409502105221nH          0.0964857930872791           57.5375018073643nH
      221               9mm               6mm            2810.01811573643nH           126.3301214972nH          0.0957548588620903           57.0517325016642nH
      222               9mm               9mm             2811.5611221696nH         126.397103567952nH          0.0945761488505062           56.3798545612543nH
      223               9mm              12mm            2808.07278523391nH         126.200487303276nH          0.0928581771049732           55.2783218270144nH
      224               9mm              15mm            2807.59453931063nH         126.389065609166nH          0.0907964799218476           54.0867589383345nH
      225               9mm              18mm            2803.53342112779nH         126.128879757521nH          0.0880276367212257            52.345479279798nH
      226               9mm              21mm            2803.02417740363nH         126.308361648593nH          0.0850156377775539            50.585761261007nH
      227               9mm              24mm            2802.27490025035nH         126.125145701409nH          0.0815691635497468           48.4933534444407nH
      228               9mm              27mm            2802.92741270982nH         126.359598354684nH          0.0779648065132745            46.399003062772nH
      229               9mm              30mm            2803.16792941733nH         126.705341868721nH            0.07401835712896           44.1124787266811nH
      230               9mm              33mm            2796.76131157622nH          126.33948771625nH          0.0696035274371583           41.3740949899484nH
      231               9mm              36mm            2799.68229803498nH         126.775077058502nH           0.065224404891608            38.858089349221nH
      232               9mm              39mm             2793.8971178422nH         126.404789127558nH          0.0605995031048353           36.0127289391316nH
      233               9mm              42mm            2791.90004124971nH         126.328816650807nH          0.0559173827366317           33.2084023480011nH
      234               9mm              45mm            2789.75967090578nH         126.235019729999nH          0.0515126538333122           30.5694233538534nH
      235               9mm              48mm            2788.94599427288nH         126.355564478784nH          0.0469964715226919           27.8986051864057nH
      236               9mm              50mm            2789.69583525021nH         126.609243265821nH          0.0440693645853425           26.1907492249084nH
      237               6mm               0mm             2807.6418890663nH         126.071802372079nH          0.0962810941690258            57.282353703452nH
      238               6mm               3mm            2812.14416803188nH         126.265188997543nH           0.096115672036688           57.2736438017862nH
      239               6mm               6mm            2812.78519650298nH         126.494168308531nH          0.0955122665816205           56.9721602476216nH
